customer_segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_monetary,avg_rfm_score,customer_share,revenue_share
一般价值客户,22,53.5,4.954545454545454,6536.012272727272,143792.27,8.363636363636363,2.206619859578736,1.648773969520268
一般保持客户,66,79.92424242424242,6.46969696969697,7287.10696969697,480949.06,9.212121212121213,6.619859578736209,5.514735185648307
低价值客户,322,126.68012422360249,3.201863354037267,4505.560838509317,1450790.59,5.114906832298137,32.29689067201605,16.63528755764793
新客户,74,17.5,2.8378378378378377,3813.889189189189,282227.8,7.45945945945946,7.422266800401204,3.23612562841502
潜力客户,66,74.54545454545455,4.606060606060606,11197.163787878788,739012.81,9.212121212121213,6.619859578736209,8.47378711157441
重要价值客户,177,17.2090395480226,7.553672316384181,15165.827344632768,2684351.44,13.80225988700565,17.753259779338016,30.779740658633788
重要保持客户,118,19.14406779661017,5.491525423728813,8363.882627118644,986938.15,11.025423728813559,11.835506519558676,11.316588376040588
重要发展客户,41,21.926829268292682,3.3902439024390243,9368.901463414635,384124.96,9.512195121951219,4.112337011033099,4.404515173806034
重要挽留客户,111,79.67567567567568,7.162162162162162,14134.92072072072,1568976.2,11.288288288288289,11.133400200601805,17.99044633871366
